ITEM,CEST,NCM,Descrição,MVA Ajustado,MVA Original
3.3.,03.003.00,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro descartável","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.3.1,03.003.01,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em embalagem de vidro descartável","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.5.0,03.005.00,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, em copo plástico descartável","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.5.1,03.005.01,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em copo plástico descartável","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.5.2,03.005.02,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, em jarra descartável","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.5.3,03.005.03,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em jarra descartável","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.5.4,03.005.04,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, em demais embalagens descartáveis","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.5.5,03.005.05,"2201.1 e 
2201.9","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em demais embalagens descartáveis","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.6,03.006.00,2201.1,"Outras águas minerais, gasosas ou não, ou potáveis, naturais, exceto as classificadas no CEST 03.003.00, 03.003.01, 03.005.00 a 03.005.05, 03.024.00 e 03.025.00","158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.9,03.010.00,"2202.10 e 
2202.99",Refrigerantes em vidro descartável,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.9.1,03.010.01,"2202.10 e 
2202.99",Refrigerantes em embalagem pet,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.9.2,03.010.02,"2202.10 e 
2202.99",Refrigerantes em lata,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.10,03.011.00,"2202.10 e 
2202.99","Demais refrigerantes, exceto os classificados no CEST 03.010.00, 03.010.01, 03.010.02 e 03.011.01","165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.11.0,03.012.00,2106.90.1,"Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”, exceto o classificado no CEST 03.012.01","165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.11.1,03.012.01,2106.90.1,Cápsula de refrigerante,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.12.0,03.013.00,"2106.9 e 
2202.99",Bebidas energéticas em lata,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.12.1,03.013.01,"2106.9 e 
2202.99",Bebidas energéticas em embalagem PET,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.12.2,03.013.02,"2106.9 e 
2202.99",Bebidas energéticas em vidro,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
3.14,03.015.00,"2106.9 e 
2202.99",Bebidas hidroeletrolíticas,"165,08% (Alíq. 4%) 
156,80% (Alíq. 7%) 
142,99% (Alíq. 12%)",114%
